代码,名称,策略,分类,最新价,J值,短期趋势线,多空线,趋势强度%,放量倍数,放量距今,近20日回撤%,距年高跌幅%,日均成交额亿,止损位,目标位,盈亏比,score
002674,兴业科技,碗口反弹,回落碗中,24.89,-1.6,27.37,24.63,11.1,2.81,28,21.2,26.5,7.18,22.76,33.88,4.22,77.0
688131,皓元医药,碗口反弹,回落碗中,93.58,18.4,94.16,87.61,7.47,3.59,15,10.4,10.4,6.27,85.86,104.44,1.41,77.0
688222,成都先导,碗口反弹,回落碗中,32.86,-12.8,35.16,32.71,7.52,2.08,15,21.3,23.5,8.48,30.21,41.78,3.37,77.0
688293,奥浦迈,碗口反弹,回落碗中,55.1,-9.0,60.34,54.89,9.92,2.58,15,23.3,23.3,3.26,50.74,71.88,3.85,77.0
300009,安科生物,碗口反弹,靠近多空线,8.52,6.8,8.72,8.56,1.82,7.72,6,16.1,34.8,5.08,8.03,10.15,3.33,76.7
300795,米奥会展,碗口反弹,回落碗中,13.31,14.8,14.65,13.23,10.72,2.25,1,29.5,69.4,6.23,11.78,18.88,3.64,75.0
603669,灵康药业,碗口反弹,靠近多空线,5.49,11.4,5.83,5.6,4.06,7.05,27,14.9,42.5,1.43,5.13,8.4,8.08,74.1
300314,戴维医疗,碗口反弹,回落碗中,11.86,-17.0,12.23,11.36,7.71,2.14,15,29.8,31.8,1.83,11.07,16.9,6.38,74.0
688247,宣泰医药,碗口反弹,回落碗中,9.49,9.2,9.64,9.21,4.67,2.65,15,16.2,32.2,1.1,8.93,11.33,3.29,74.0
300119,瑞普生物,碗口反弹,靠近多空线,17.3,12.1,17.99,17.36,3.63,8.24,12,14.6,40.1,1.5,16.55,20.26,3.95,73.5
688073,毕得医药,碗口反弹,靠近多空线,61.44,-14.9,68.39,61.79,10.69,3.17,15,30.9,30.9,4.3,56.17,88.88,5.21,73.0
600267,海正药业,碗口反弹,靠近多空线,12.2,1.9,13.05,12.21,6.93,3.03,14,18.7,18.7,8.51,11.55,15.0,4.31,73.0
300797,钢研纳克,碗口反弹,靠近多空线,13.87,2.4,13.65,13.5,1.12,5.39,9,14.0,36.7,1.03,13.23,16.13,3.53,72.7
603456,九洲药业,碗口反弹,靠近多空线,15.55,-3.2,16.35,15.56,5.08,2.51,15,16.0,30.1,6.48,14.7,18.51,3.48,72.6
002552,宝鼎科技,碗口反弹,回落碗中,53.19,19.8,53.45,50.36,6.14,2.33,13,15.3,32.7,18.79,48.01,78.98,4.98,72.2
688469,芯联集成,碗口反弹,回落碗中,8.58,8.7,8.75,8.46,3.49,2.32,13,10.4,23.6,12.87,8.18,11.23,6.62,72.2
689009,九号公司,碗口反弹,回落碗中,42.38,4.7,43.45,42.03,3.38,2.54,13,10.5,45.0,5.17,40.62,47.34,2.82,72.1
